,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
72,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Engineering Design and Manufacturing (Time Share),,,,,,,,,,,,,,3.0,I do not feel as though I need to be extremely well versed in computing for mechanical engineering but I also feel I need to know enough to be useful in making things.,Man,Multi-Racial,18 and younger
73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,,,High Impact,Some Impact,Psychology,,,,,,,,,,,,,,3.0,"It doesn't have to do with my major, but I have some friends that want to work in STEM and I thought it would be a good idea to try it out and see what it had to offer. I am completing this class for my credits, and although challenging at times, I enjoy learning about something I never would have experienced without the advice of my friends.",Woman,White,19-20
74,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,Hispanic,18 and younger
75,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Don't recall,,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,,,High Impact,High Impact,High Impact,,,High Impact,High Impact,Mechanical Engineering ,,,,,,,,,,,,,,4.0,Being the only one that does not know what they are doing and struggling to catch up. ,Woman,Black/African American,18 and younger
76,Don't recall,Don't recall,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,,,No Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,,High Impact,High Impact,Challenger Program,No,No,No,No,No,No,No,No,No,No,No,No,Undecided,,,Man,White,18 and younger
77,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,,Some Impact,Some Impact,,,,,,High Impact,Undecided,,,,,,,,,,,,,,3.0,"It's interesting to learn about the history of coding and how it affected technology for the future, but I'm not sure how I would feel about doing future classes where we type code and solve problems because of how complicated the coding commands can be at times.",Man,White,18 and younger
78,No,No,Don't recall,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,dont have one,,,,,,,,,,,,,,4.0,"i was never really interested in computer science back when i took AP comp sci. nothing i did seemed to make sense to me, which took away hope that i would get past the class. when we started doing comp sci at the ccm, everything i did began to add up. it being easier to understand, i started to gain more interest in the subject.",Man,Asian,18 and younger
79,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Share time engineering,,,,,,,,,,,,,,4.0,I enjoy this class and would take another in the future,Man,White,18 and younger
80,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Highschool dual enrollment program,,,,,,,,,,,,,,4.0,I would be interested in taking another computing class because it could help me in the future with the career I wish to pursue.,Man,Hispanic,18 and younger
81,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Engineering Design and Manufacturing (Time Share),,,,,,,,,,,,,,3.0,I would not be interested because after this class I will have most of what I need to know for mechanical engineering.,Man,Multi-Racial,18 and younger
82,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,,,,,,didn't send professor screenshot,,,,,,,,,,,,,,3.0,need a screenshot for professor Stoll,Man,Unknown,18 and younger
83,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Computer Science,,,I do not identify,Multi-Racial,18 and younger
84,No,No,No,Yes,No,Don't recall,Yes,Yes,No,No,No,No,No,No,Yes,Some Impact,High Impact,,,,,Some Impact,,,,,,,,High Impact,High Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,21-24
85,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Engineering,,,Man,White,21-24
86,Yes,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,High Impact,,Digital Media Technology,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Soicial Science,,,Man,Hispanic,19-20
87,Yes,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Computer Science,,,Man,Multi-Racial,18 and younger
88,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Engineering,,,Man,Hispanic,18 and younger
89,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Business and Marketing ,,,,,,,,,,,,,,3.0,Im not really exited nor disapointed about taking a computer class.,Woman,Multi-Racial,18 and younger
90,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Digital Media Technology,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Man,White,21-24
91,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Yes,Yes,No,No,Yes,Yes,No,Yes,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Criminal Justice ,,,Woman,Hispanic,19-20
92,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Web Development Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Woman,Multi-Racial,18 and younger
93,No,No,No,No,No,No,Don't recall,Don't recall,No,No,No,No,No,Don't recall,Yes,High Impact,High Impact,High Impact,Some Impact,,,Some Impact,No Impact,No Impact,High Impact,No Impact,,Some Impact,,,,Information Technology,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Computer Science,,,Man,White,21-24
94,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,,,High Impact,,High Impact,,,High Impact,,Digital Media Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Game Development,,,Woman,White,19-20
95,No,Yes,No,Yes,Yes,No,Don't recall,Don't recall,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,Business Professional,,,,,,,,,,,,,,3.0,"I have taken plenty of computing classes previously when I was an IT major (before I switched to business professional). Although its and interesting topic, I don't think it would be of any use to the profession I am going for currently.",Man,Asian,19-20
96,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Engineering,,,Man,Asian,19-20
97,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,Asian,21-24
98,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Engineering,,,Man,Asian,19-20
99,No,No,No,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,Some Impact,,,High Impact,,,,,,,,,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Computer Science,,,Prefer not to say,Unknown,35-64
100,No,Yes,Don't recall,Yes,Yes,Yes,Don't recall,No,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,No Impact,Some Impact,,High Impact,,No Impact,No Impact,Some Impact,,,,Some Impact,,biology,,,,,,,,,,,,,,3.0,"A lot of medical instruments are becoming more automated. As well as tools, and other pathways I am interested in. ",Woman,White,18 and younger
101,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,4.0,I am enjoying the online class,Woman,White,35-64
102,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,Some Impact,No Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Woman,Hispanic,18 and younger
103,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,,,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Computer Science,,,Man,White,18 and younger
104,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Computer Science,,,Man,Hispanic,18 and younger
105,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,,,Some Impact,Some Impact,,,,High Impact,High Impact,Information Technology,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Computer Science,,,Woman,White,18 and younger
106,No,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Yes,No,No,Yes,No,No,No,No,,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,,,Some Impact,No Impact,,,,High Impact,High Impact,Information Technology,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
107,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
108,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,ShareTime CSIP Program,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Computer Science,,,Man,White,18 and younger
109,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,ShareTime CSIP Program,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Computer Science,,,Woman,Multi-Racial,18 and younger
110,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,,,,High Impact,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Engineering,,,Man,Asian,18 and younger
111,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,ShareTime CSIP Program,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,White,18 and younger
112,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,,,,Man,Multi-Racial,18 and younger
113,Yes,No,No,Yes,Yes,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,Some Impact,No Impact,,,,Some Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,Unknown,19-20
114,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Information Security Certificate of Achievement,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Computer Science,,,Man,Multi-Racial,18 and younger
115,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Some Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Challenger Program,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Computer Science,,,Woman,White,18 and younger
116,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,18 and younger
117,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,ShareTime CSIP Program,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,18 and younger
118,Yes,Don't recall,No,Don't recall,Yes,No,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Business Administration,,,,,,,,,,,,,,5.0,"It's a career that I study when I just graduated from high school, but I didn't like it and I transfer to another career. But I have always been interested in software programming. ",Man,Hispanic,35-64
119,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,Some Impact,High Impact,,,,,High Impact,,,,,,,,High Impact,Information Technology,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,,,,Man,White,18 and younger
120,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Woman,White,19-20
121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Early Childhood Education,,,,,,,,,,,,,,1.0,I am taking this class as a requirement for my major. I am unsure as to why this is a requirement for my Early Childhood Education associates degree but it was.,Woman,White,19-20
122,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Business,,,Man,White,21-24
123,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Criminal Justice,,,Woman,Multi-Racial,19-20
124,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
125,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,,,,,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Computer Science,,,Prefer not to say,Unknown,18 and younger
126,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Undecided,,,,,,,,,,,,,,5.0,Professor is very good.  ,Man,Unknown,35-64
127,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,,,,,,Some Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Computer Science,,,Man,White,19-20
128,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Computer Science,,,Woman,Asian,21-24
129,No,No,No,Yes,Yes,Yes,Yes,Don't recall,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Architecture,,,Man,White,21-24
130,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,High Impact,High Impact,No Impact,Some Impact,High Impact,,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,,No Impact,High Impact,Some Impact,Undecided,,,,,,,,,,,,,,4.0,"I am a electrical engineering major so I know that I will need to take another computing class in the future but I'm not the best at coding. I want to get better at it, and would like to be able to code for jobs possibly in the future.",Man,White,18 and younger
131,Yes,Don't recall,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,,High Impact,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,,,Some Impact,High Impact,,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Computer Science,,,Non-binary,White,18 and younger
132,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Engineering,,,Woman,Asian,21-24
133,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,Asian,25-34
134,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Criminal Justice,,,Man,White,19-20
135,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,21-24
136,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Digital Media Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,21-24
137,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,,,,,,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Computer Science,,,Man,White,21-24
138,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,,Some Impact,Some Impact,,High Impact,Some Impact,High Impact,,,High Impact,High Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Woman,Multi-Racial,21-24
139,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,,No Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Digital Media Technology,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,Hispanic,21-24
140,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Engineering,,,Man,Multi-Racial,21-24
141,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,,,,High Impact,No Impact,Computer Science,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Computer Science,,,Man,Asian,19-20
